Question,Answer
[Redacted] once made a makeshift [redacted] while at home in [Redacted]. What was this [redacted] made out of?,A gallon bottle! What an ingenious solution!
What is [Redacted]'s favorite cocktail? ,Pisco sour
How many cups of coffee (at least) does [Redacted] need to drink in order to feel any caffeine effect? ,"At least five cups because ""I'm [Redacted]. It's in my blood. Literally so much tolerance."""
These two people in the [Redacted] are on the cusp of Libra and Scorpio. Who are they?,[Redacted] (actually a Scorpio but identifies as a Libra) and [Redacted] (actually a Libra and identifies as a Libra)
What is [Redacted]'s mundane fear?,Not documenting clients properly and getting sued and kicked out of school. Yikes.
[Redacted]'s mother likes to use her baking for clout amongst her group of friends and family. How does [Redacted] refer to this group of people?,The [Redacted] Population
What is [Redacted]'s mundane fear? ,Picking up bugs (she can kill them but can't pick them up to throw out their dead carcasses)
What is [Redacted]'s favorite beer? ,Left Hand's raspberry milk stout (wheat beer is also acceptable)
[Redacted] and her mother have been watching a show together during this quarantine. What is this show (now [Redacted]'s favorite tv show)? ,Gilmore Girls
What are [Redacted]'s top three favorite musicals? ,"Hamilton, In the Heights, and Six"
"[Redacted] tried to buy a dog for $900, but unfortunately, someone else bought it first. What breed of dog did she try to buy?",Cockapoo
What are [Redacted]'s two favorite wines? ,Rosé and Caymus
These two people in the [Redacted] are scared of birds. Who are they? ,[Redacted] and [Redacted]
How did [Redacted] ask [Redacted] to prom? Please detail the promposal. ,[Redacted] promposed to [Redacted] at a Denny's by having prom? written with strawberry syrup and whipped cream on her plate.
"In the event of a zombie apocalypse, where would [Redacted] camp out? ",Georgia O'Keeffe's bunker in the New Mexican desert
What is [Redacted]'s favorite unusual flavor combo? ,Waffles and soy sauce 
Who is [Redacted]'s celebrity crush? ,Zoe Kravitz
"What is [Redacted]'s favorite childhood toy? For a bonus point, what was the toy's name? ",Golden retriever stuffed animal. The dog's name is Goldie.
What reality TV show would [Redacted] want to be on? ,Rupaul's Drag Race as a guest judge. (Will also accept Flea Market Flip as an answer)
[Redacted]’s dog is named Bunda but what did [Redacted]’s dad want to call him?,Biscuit
What show would [Redacted] be on and what would she star as? ,"""I would be on meerkat manor. Starring as one of the meerkats."" - [Redacted] 2020"
What is [Redacted]'s mundane fear? ,Whales (they're too big)
What is [Redacted]'s favorite drink from Starbucks (so much so that she drinks it three times a week)?,Pumpkin spice cold brew
There is one love language that [Redacted] does not use at all - what is this love language?,Physical touch (0%)
What movie franchise is [Redacted]'s dad obsessed with? ,Pitch Perfect
What is [Redacted]'s favorite childhood toy? Bonus points if you can remember the name and the unfortunate situation that happened to the toy. ,"A stuffed cow. The cow's name is Moo, and it got lost when Rik moved houses."
"During this quarantine, [Redacted] has gotten into a strange section of Youtube. What is this section?","Dark academia royalty core, medieval core, goblin core, cottagecore, bardcore playlists"
What is [Redacted]'s mundane fear? ,Having a credit score of 9.
"Who in the [Redacted] can recite the poem, The Slope of Reverie, on hand? Bonus points if you know who wrote The Slope of Reverie (hint: they also wrote a book that is now a musical).",[Redacted]. Bonus answer: Victor Hugo
What is [Redacted]'s pet peeve? ,People who like to use a comma between an independent clause and a conjunction plus a dependent clause.
